eph_aglome,RADIO,PERSONAS,decil_NSE
CABA,020012002,738,2
CABA,020012003,567,4
CABA,020012004,769,2
CABA,020012005,700,4
CABA,020012006,785,5
CABA,020012007,481,3
CABA,020012008,563,2
CABA,020012009,572,4
CABA,020012010,860,1
CABA,020012101,627,3
CABA,020012102,640,4
CABA,020012103,400,1
CABA,020012104,1160,2
CABA,020012105,724,3
CABA,020012106,602,3
CABA,020012107,785,2
CABA,020012108,553,4
CABA,020012109,709,3
CABA,020012110,816,4
CABA,020012201,567,7
CABA,020012202,810,3
CABA,020012203,817,2
CABA,020012204,446,3
CABA,020012205,447,7
CABA,020012206,578,5
CABA,020012207,562,5
CABA,020012208,533,3
CABA,020012209,880,3
CABA,020012210,1231,3
CABA,020012301,607,6
CABA,020012302,525,6
CABA,020012303,790,6
CABA,020012304,370,1
CABA,020012305,501,5
CABA,020012306,484,6
CABA,020012307,568,4
CABA,020012308,681,6
CABA,020012309,898,5
CABA,020012310,362,2
CABA,020012401,248,6
CABA,020012402,287,8
CABA,020012403,534,4
CABA,020012404,328,3
CABA,020012405,345,7
CABA,020012406,720,7
CABA,020012407,566,7
CABA,020012408,428,4
CABA,020012501,424,6
CABA,020012502,388,8
CABA,020012503,513,6
CABA,020012504,912,6
CABA,020012505,477,6
CABA,020012506,752,4
CABA,020012507,418,4
CABA,020012508,612,5
CABA,020012509,658,2
CABA,020012510,542,5
CABA,020012511,557,8
CABA,020012601,639,3
CABA,020012602,677,4
CABA,020012603,440,6
CABA,020012604,553,6
CABA,020012605,683,2
CABA,020012606,465,6
CABA,020012607,313,5
CABA,020012608,449,4
CABA,020012609,739,6
CABA,020012701,596,4
CABA,020012702,780,1
CABA,020012703,888,2
CABA,020012704,802,1
CABA,020012705,641,2
CABA,020012706,929,1
CABA,020012707,866,1
CABA,020012708,694,2
CABA,020012709,723,2
CABA,020012710,513,6
CABA,020012801,512,2
CABA,020012802,753,1
CABA,020012803,677,2
CABA,020012804,661,2
CABA,020012805,805,2
CABA,020012806,632,1
CABA,020012807,727,2
CABA,020012808,306,2
CABA,020012809,741,1
CABA,020012810,909,2
CABA,020012811,610,1
CABA,020012812,573,1
CABA,020012813,652,1
CABA,020012901,1123,2
CABA,020012902,624,1
CABA,020012903,817,1
CABA,020012904,723,1
CABA,020012905,804,2
CABA,020012906,990,7
CABA,020012907,916,2
CABA,020012908,648,1
CABA,020012909,923,2
