eph_aglome,decil_NSE,poblacion,tasa_acceso,total_ha_accesibles,m2_accesibles_per_capita
Bahia Blanca - Cerri,1,39765,0.8116434050044009,219.37875973757548,55.16880667360128
Bahia Blanca - Cerri,2,40367,0.9424282210716675,206.4915910383894,51.15356381162568
Bahia Blanca - Cerri,3,34201,1,285.66742848000564,83.52604557761633
Bahia Blanca - Cerri,4,34060,0.9751614797416324,314.9518147502755,92.46970485915311
Bahia Blanca - Cerri,5,29738,0.9746788620620082,343.513730016764,115.51339364340707
Bahia Blanca - Cerri,6,26019,0.8973442484338369,404.7797705627783,155.5708407559008
Bahia Blanca - Cerri,7,27711,0.9294143120060626,751.1967147157166,271.0824996267607
Bahia Blanca - Cerri,8,24477,0.8937369775707807,400.02894023922937,163.43054305643233
Bahia Blanca - Cerri,9,18395,0.9462897526501767,723.5010196696637,393.31395469946386
Bahia Blanca - Cerri,10,21850,0.9437986270022883,2104.11484066714,962.981620442627
CABA,1,377562,0.7350210031729888,6201.6742927448995,164.25578561255898
CABA,2,280969,0.8684267659421502,3847.833195908634,136.94867390739313
CABA,3,291276,0.8610596135623945,2856.543531021891,98.06999310008003
CABA,4,275277,0.8406550492776367,3103.204924015075,112.73026529695815
CABA,5,273174,0.8553998550374486,2332.0444257990157,85.36846207175704
CABA,6,279299,0.866881012821385,2326.80575832792,83.3087751237176
CABA,7,277292,0.9193377378359274,2912.544881591533,105.03530147251031
CABA,8,271860,0.9189251820790113,2471.902208238944,90.9255575751837
CABA,9,274862,0.9710545655638102,3638.737682013352,132.38416667321607
CABA,10,287235,0.9627517537904503,10540.375823397702,366.9600091701117
Comodoro Rivadavia - Rada Tilly,1,21589,0.24197507990180184,5.004434727352858,2.3180484169497695
Comodoro Rivadavia - Rada Tilly,2,19662,0.39065201912318176,9.648283752146178,4.9070713824362615
Comodoro Rivadavia - Rada Tilly,3,20905,0.19248983496771108,4.2769767866649895,2.045910924020564
Comodoro Rivadavia - Rada Tilly,4,20829,0.49171827740169954,11.324002316099453,5.4366519353302865
Comodoro Rivadavia - Rada Tilly,5,19323,0.41085752729907365,9.078500442049304,4.698287244242253
Comodoro Rivadavia - Rada Tilly,6,22346,0.46375190190638144,14.297637691790797,6.398298439000626
Comodoro Rivadavia - Rada Tilly,7,16144,0.5084241823587711,12.28141103590494,7.607415160991662
Comodoro Rivadavia - Rada Tilly,8,17807,0.5207502667490312,13.105470753937936,7.3597297433245
Comodoro Rivadavia - Rada Tilly,9,13772,0.4703746732500726,38.730002201102394,28.122278682182976
Comodoro Rivadavia - Rada Tilly,10,11917,0.5945288243685491,51.44335512789376,43.16804156070635
Concordia,1,19235,0.4270860410709644,102.38702231120368,53.2295411027833
Concordia,2,23801,0.6621990672660812,68.62344249694877,28.832167764778273
Concordia,3,18046,0.6299456943366951,43.797735133667764,24.270051609036773
Concordia,4,17637,0.6250496116119522,242.6541200741951,137.58242335669053
Concordia,5,15701,0.5762690274504808,188.1546410908355,119.83608756820297
Concordia,6,15202,0.7544402052361532,167.65206676031377,110.28290143422824
Concordia,7,12021,0.845437151651277,148.28305972916928,123.35334808183119
Concordia,8,9346,0.9522790498609031,321.94473889832506,344.4732922087792
Concordia,9,9228,1,36.57096596687818,39.63043559479646
Concordia,10,6124,1,150.33337642267358,245.48232596778834
Corrientes,1,48316,0.5638504843116152,36.97250333918871,7.652227696661296
Corrientes,2,41282,0.5320963131631219,51.17265974886001,12.395877076900348
Corrientes,3,44291,0.4845679709195999,41.39818972614844,9.346862731965508
Corrientes,4,38076,0.573563399516756,47.318554218723285,12.427396317555228
Corrientes,5,36099,0.8945954181556276,46.86758051339366,12.983068925287034
Corrientes,6,32400,0.7633950617283951,51.07134560352112,15.762760988741086
Corrientes,7,31316,0.7537361093370801,34.30027863288303,10.952956518355801
Corrientes,8,27110,0.782995204721505,62.53951920780219,23.068800888160162
Corrientes,9,23796,0.9043116490166414,173.9597280152848,73.10460918443638
Corrientes,10,21860,1,272.91244812828637,124.84558468814564
Formosa,1,22830,0.39653964082347787,21.6152450653283,9.467912862605475
Formosa,2,29587,0.7906850981850136,84.26685542485069,28.481040803342918
Formosa,3,25816,0.6323597768825534,80.90307151310071,31.33834502366777
Formosa,4,23199,0.4776067933962671,75.48893713091681,32.53973754511695
Formosa,5,24668,0.7424598670342144,164.57932634833807,66.7177421551557
Formosa,6,22434,0.6332352678969422,161.55794274267924,72.0147734432911
Formosa,7,21032,0.8253138075313807,170.7539135023937,81.18767283301337
Formosa,8,18125,0.8201931034482759,114.20760987212219,63.011095101860526
Formosa,9,17539,0.8381891784024175,142.06074271690576,80.99705953412725
Formosa,10,14930,0.981848626925653,196.3792233226668,131.53330430185318
Gran Catamarca,1,25277,0.8321003283617517,251.55325799515023,99.51863670338656
Gran Catamarca,2,22420,0.7400535236396075,242.86531329174554,108.3252958482362
Gran Catamarca,3,19050,0.5760629921259842,18.650669300970005,9.790377585811026
Gran Catamarca,4,19495,0.8473454731982559,105.98196032677093,54.36366264517617
Gran Catamarca,5,18867,0.7815232946414374,41.21161809863416,21.84322791044372
Gran Catamarca,6,18647,0.6470745964498311,17.722816734751746,9.504379650749046
Gran Catamarca,7,17289,0.806640060153855,176.88611626575187,102.3113634482919
Gran Catamarca,8,13931,0.8832101069557103,109.6435959334646,78.70475625114105
Gran Catamarca,9,15705,0.872906717605858,127.28818651396354,81.04946610249189
Gran Catamarca,10,11165,1,64.16493423425281,57.4697127042121
Gran Córdoba,1,206429,0.6658318356432478,1861.4760217545843,90.17512179754706
Gran Córdoba,2,184749,0.7354085813725649,1849.2677932172774,100.09622748795812
Gran Córdoba,3,169753,0.788092110301438,2087.838102517092,122.99270719911236
Gran Córdoba,4,152744,0.8873736447912848,2861.482043502603,187.33842530656543
Gran Córdoba,5,140310,0.7803862875062362,2505.2087852456666,178.54812809106028
Gran Córdoba,6,135873,0.866308979708993,3311.7652344530593,243.73975951462464
Gran Córdoba,7,126198,0.8826130366566823,5801.518999558502,459.715605600604
Gran Córdoba,8,110623,0.9222494417978178,7920.737118791511,716.0117804427209
Gran Córdoba,9,102593,0.8870098349789947,10039.721704767579,978.5971464688213
Gran Córdoba,10,104601,0.8719037102895766,11513.512688378767,1100.7077072283025
Gran La Plata,1,112712,0.30994925118887073,405.5440604289081,35.9805575652023
Gran La Plata,2,108359,0.41527699591173783,304.53471937152233,28.10423863006509
Gran La Plata,3,95965,0.39987495441046217,401.67247161633315,41.8561425119922
Gran La Plata,4,89063,0.5347450680978633,711.9776858665969,79.94090541151733
Gran La Plata,5,78834,0.47549280767181673,245.7915511960199,31.178368622170623
Gran La Plata,6,70028,0.5430399268863882,506.2623237801644,72.2942714028909
Gran La Plata,7,66379,0.7662212446707543,1064.7442892792176,160.4037857272959
Gran La Plata,8,60325,0.7568338168255284,1162.7952798905858,192.75512306516134
Gran La Plata,9,52843,0.90672369093352,1096.982459192391,207.5927671011091
Gran La Plata,10,44869,0.9583231184113753,1316.26614252313,293.3575837489425
Gran Mendoza,1,125380,0.5005024724836497,1076.542100044048,85.86234647025428
Gran Mendoza,2,120873,0.5011044650170013,227.59502024418384,18.829268756809533
Gran Mendoza,3,104236,0.6067865228903642,585.5283947738853,56.17333692523555
Gran Mendoza,4,100038,0.6039904836162259,913.212506736897,91.28656178021322
Gran Mendoza,5,93655,0.6906838930115851,2403.343164152357,256.6166423738569
Gran Mendoza,6,91113,0.6780371626441891,2096.3987184930315,230.08777216127572
Gran Mendoza,7,85415,0.7327167359363109,1978.325350308852,231.61334078427114
Gran Mendoza,8,78052,0.7206093373648337,2743.029677401369,351.4361806745976
Gran Mendoza,9,68552,0.7416559691912709,4225.703657761162,616.4231033027719
Gran Mendoza,10,62811,0.7141424272818455,19803.695076239575,3152.902370005186
Gran Paraná,1,30770,0.6989275268118297,69.26926823944112,22.511949379083887
Gran Paraná,2,32544,0.6020464601769911,100.98108451956492,31.02909430910918
