id,n,total_ha
1,5,6.882020102839871
10,2,2.170952860459831
100,4,9.601663238436565
1000,6,7.665784548409609
10000,0,0
10001,0,0
10002,0,0
10003,0,0
10004,0,0
10005,0,0
10006,0,0
10007,0,0
10008,0,0
10009,0,0
1001,6,5.453255742660398
10010,0,0
10011,0,0
10012,0,0
10013,0,0
10014,0,0
10015,1,0.9323938031321857
10016,1,0.9323938031321857
10017,1,0.9323938031321857
10018,0,0
10019,0,0
1002,7,8.18987996546994
10020,1,0.9323938031321857
10021,0,0
10022,0,0
10023,0,0
10024,0,0
10025,0,0
10026,0,0
10027,0,0
10028,0,0
10029,1,0.9323938031321857
1003,3,1.6556375111464412
10030,0,0
10031,0,0
10032,0,0
10033,0,0
10034,0,0
10035,0,0
10036,0,0
10037,0,0
10038,0,0
10039,1,0.9323938031321857
1004,5,3.6227274677985815
10040,1,0.9323938031321857
10041,2,1.5567640420508106
10042,2,1.5567640420508106
10043,1,0.9323938031321857
10044,0,0
10045,1,0.9323938031321857
10046,2,1.5567640420508106
10047,1,0.6243702389186249
10048,1,0.6243702389186249
10049,1,0.6243702389186249
1005,5,3.6227274677985815
10050,0,0
10051,0,0
10054,0,0
10055,0,0
10057,0,0
10058,4,2.5914784030959708
10059,5,3.5277011354448042
1006,4,2.6060374752527102
10060,7,5.95577524432831
10061,6,5.019552511979477
10062,6,5.328567098861397
10063,3,3.5097849885843693
10064,5,5.266092866155936
10065,2,1.4544617046609054
10066,1,0.8459318945420906
10067,1,0.8459318945420906
10068,1,0.8459318945420906
10069,1,0.5265588390124263
1007,4,2.6060374752527102
10070,5,6.705914715254365
10071,3,3.235531099018408
10072,1,0.6189707956884056
10073,3,3.264799251053389
10074,3,3.264799251053389
10075,3,3.264799251053389
10076,1,0.5790091848897748
10077,2,2.6458284553649833
10078,2,2.6458284553649833
10079,3,3.2206326595370656
1008,3,2.0665395442877896
10080,8,11.053680855104961
10081,6,9.005194188431492
10082,7,11.625202333629364
10083,4,9.025529547018301
10084,3,5.6713169738227265
10085,4,2.990783827784634
10086,6,5.4459194601458325
10087,3,2.602244686057139
10088,10,11.495624016701273
10089,10,15.243486556865932
1009,5,8.345990680512088
10090,11,16.828102356413012
10091,9,15.485295259259642
10092,7,14.45040924355418
10093,10,17.023031130596088
10094,6,10.918721976136347
10095,9,13.569839352000646
10096,10,17.10152661941848
10097,8,14.998648578857399
10098,2,1.3906642037253936
10099,0,0
101,3,9.0838326865679
1010,7,9.863626904099679
10100,2,1.1973680819250179
10101,0,0
10102,1,1.2165348209594375
10103,0,0
10104,1,1.2165348209594375
10105,1,1.2165348209594375
10106,1,1.2165348209594375
10107,1,1.2165348209594375
10108,1,1.2165348209594375
10109,0,0
1011,4,2.279029380210256
10110,0,0
10111,0,0
10112,0,0
10113,2,1.9409411926809699
10114,0,0
10115,0,0
10116,0,0
10117,1,0.5263882896464318
10118,2,1.243879763703898
10119,2,1.243879763703898
1012,5,5.441958150065737
10120,0,0
10121,0,0
10122,1,0.7174914740574663
10123,2,1.243879763703898
10124,1,0.5263882896464318
10125,2,1.243879763703898
10126,0,0
10127,0,0
10128,0,0
10129,0,0
1013,3,1.6556375111464412
10130,0,0
10131,1,25.175707721811534
10132,1,0.5205188854075968
10133,1,0.5718878890819847
10134,1,0.5718878890819847
10135,1,0.5205188854075968
10136,1,0.5205188854075968
10137,2,1.5528598707079888
10138,1,0.5205188854075968
10139,1,0.5205188854075968
1014,4,2.279029380210256
