eph_aglome,localidade,decil_NSE,poblacion,tasa_acceso,total_ha_accesibles,m2_accesibles_per_capita
Corrientes,Corrientes,1,48316,0.5638504843116152,36.97250333918871,7.652227696661296
Corrientes,Corrientes,2,41282,0.5320963131631219,51.17265974886001,12.395877076900348
Corrientes,Corrientes,3,44291,0.4845679709195999,41.39818972614844,9.346862731965508
Corrientes,Corrientes,4,38076,0.573563399516756,47.318554218723285,12.427396317555228
Corrientes,Corrientes,5,36099,0.8945954181556276,46.86758051339366,12.983068925287034
Corrientes,Corrientes,6,32400,0.7633950617283951,51.07134560352112,15.762760988741086
Corrientes,Corrientes,7,31316,0.7537361093370801,34.30027863288303,10.952956518355801
Corrientes,Corrientes,8,27110,0.782995204721505,62.53951920780219,23.068800888160162
Corrientes,Corrientes,9,23796,0.9043116490166414,173.9597280152848,73.10460918443638
Corrientes,Corrientes,10,21860,1,272.91244812828637,124.84558468814564
Formosa,Formosa,1,22830,0.39653964082347787,21.6152450653283,9.467912862605475
Formosa,Formosa,2,29587,0.7906850981850136,84.26685542485069,28.481040803342918
Formosa,Formosa,3,25816,0.6323597768825534,80.90307151310071,31.33834502366777
Formosa,Formosa,4,23199,0.4776067933962671,75.48893713091681,32.53973754511695
Formosa,Formosa,5,24668,0.7424598670342144,164.57932634833807,66.7177421551557
Formosa,Formosa,6,22434,0.6332352678969422,161.55794274267924,72.0147734432911
Formosa,Formosa,7,21032,0.8253138075313807,170.7539135023937,81.18767283301337
Formosa,Formosa,8,18125,0.8201931034482759,114.20760987212219,63.011095101860526
Formosa,Formosa,9,17539,0.8381891784024175,142.06074271690576,80.99705953412725
Formosa,Formosa,10,14930,0.981848626925653,196.3792233226668,131.53330430185318
Formosa,Formosa,NA,0,NaN,3.794437101588026,Inf
Gran Catamarca,San Fernando del Valle de Catamarca,1,25277,0.8321003283617517,251.55325799515023,99.51863670338656
Gran Catamarca,San Fernando del Valle de Catamarca,2,15896,0.8778938097634625,240.70246777053404,151.42329376606318
Gran Catamarca,San Fernando del Valle de Catamarca,3,10974,1,18.650669300970005,16.995324677392023
Gran Catamarca,San Fernando del Valle de Catamarca,4,15371,0.9309739119120422,103.35402954254923,67.23962627190764
Gran Catamarca,San Fernando del Valle de Catamarca,5,13991,0.9371024229862054,39.34447243561191,28.12127255779566
