eph_aglome,localidade,poblacion,area_m2,m2_hab
Partidos del GBA,Ituzaingó,167824,494436.86321952834,2.9461630232834897
Partidos del GBA,José C. Paz,265981,379019.79256819095,1.4249882230993602
Partidos del GBA,La Matanza,1771360,1665486.7943484392,0.9402305541213752
Partidos del GBA,Lanús,459263,441653.64511379,0.9616573621515123
Partidos del GBA,Lomas de Zamora,616279,665856.9571123174,1.08044726027062
Partidos del GBA,Malvinas Argentinas,322375,1462167.7010475197,4.535611325467296
Partidos del GBA,Marcos Paz,45366,65368.424264261965,1.4409122308394384
Partidos del GBA,Máximo Paz,7311,69884.13533717114,9.558765604865428
Partidos del GBA,Merlo,515451,940146.203068072,1.8239293416213607
Partidos del GBA,Moreno,452505,3422438.0534230336,7.563315440543272
Partidos del GBA,Morón,321109,1298072.0293866752,4.042465422603151
Partidos del GBA,Pilar,290857,1346440.3145726798,4.629217500602288
Partidos del GBA,Presidente Perón,79978,341739.9464762873,4.27292438515951
Partidos del GBA,Quilmes,582943,958946.501034036,1.645009033531642
Partidos del GBA,San Fernando,160284,627222.2987400385,3.913193448753703
Partidos del GBA,San Isidro,292878,985557.4474752909,3.365078454084263
Partidos del GBA,San Miguel,276190,459139.80299937585,1.662405601214294
Partidos del GBA,San Vicente,55882,603244.9283047769,10.79497742215341
Partidos del GBA,Tigre,370913,586863.7126416434,1.582213922514561
Partidos del GBA,Tres de Febrero,340071,608690.966241008,1.7898937758321292
Partidos del GBA,Vicente López,269420,1110002.5093417107,4.119970712425621
Posadas,Garupá,12865,58500.52289146662,4.547261787133045
Posadas,Posadas,273586,1369277.7488433274,5.004926234687913
Posadas,Posadas (Expansión),30846,71715.92068947188,2.3249666306643286
Rawson - Trelew,Playa Unión,6775,38358.69361445354,5.661799795491298
Rawson - Trelew,Rawson,24616,70094.39438768808,2.8475135841602244
Rawson - Trelew,Trelew,97915,176381.77936581837,1.8013764935486736
Rio Cuarto,Las Higueras,5685,515048.90097943856,90.59787176419324
Rio Cuarto,Río Cuarto,157010,1088657.9535818608,6.933685456861733
Rio Gallegos,Río Gallegos,95796,178061.4617737393,1.858756751573545
Salta,Cerrillos,11796,19433.492930918932,1.6474646431772577
Salta,La Ciénaga y Barrio San Rafael,4317,NA,NA
Salta,Salta,519057,2194402.6053031674,4.2276717302785
Salta,Vaqueros,4575,NA,NA
Salta,Villa Los Álamos - El Congreso - Las Tunas - Los Pinares - Los Olmos,8157,NA,NA
San Luis - El Chorrillo,Juana Koslay,12467,8629.181842204183,0.6921618546726706
San Luis - El Chorrillo,La Punta,13182,137446.05879016127,10.4267985730664
San Luis - El Chorrillo,San Luis,169947,1837147.5968212665,10.810120783663534
San Nicolas - Villa Constitución,Barrio Arroyo del Medio,310,NA,NA
San Nicolas - Villa Constitución,San Nicolás de los Arroyos,0,3983350.915978345,Inf
San Nicolas - Villa Constitución,Villa Constitución,46118,205339.66766129585,4.452484228745736
Santa Rosa - Toay,Santa Rosa,102404,978708.3247356511,9.557325150732893
Santa Rosa - Toay,Toay,11132,622053.2860925983,55.87974183368652
Santiago del Estero - La Banda,El Zanjón,2290,NA,NA
Santiago del Estero - La Banda,La Banda,101537,993965.2999491859,9.789193101521475
Santiago del Estero - La Banda,Santiago del Estero,251274,1752556.9610410405,6.974684850167708
Ushuaia - Rio Grande,Río Grande,66475,73514.59343484486,1.1058983593056768
Ushuaia - Rio Grande,Ushuaia,56593,122575.78814796689,2.1659178369757193
Viedma - Carmen de Patagones,Carmen de Patagones,20533,546490.258813303,26.615217397034186
Viedma - Carmen de Patagones,Viedma,52789,761082.8759100435,14.417452043229527
